name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;297;0;493;3163;1907;3163;1883;0
header;285;208;285;251;1879;251;1879;208
A;1659;247;1659;247;1659;247;1659;247
A;1099;265;1099;295;1125;295;1125;265
A;1199;289;1199;294;1204;294;1204;289
A;1059;444;1059;444;1060;444;1060;444
B;870;553;870;579;894;579;894;553
A;743;616;743;617;744;617;744;616
A;1517;742;1517;748;1523;748;1523;742
B;1107;946;1107;975;1128;975;1128;946
A;817;960;817;961;817;961;817;960
A;1511;1204;1511;1210;1516;1210;1516;1204
A;1888;1204;1888;1209;1891;1209;1891;1204
C;587;1298;587;1316;602;1316;602;1298
C;1115;1616;1115;1648;1137;1648;1137;1616
B;887;1854;887;1870;902;1870;902;1854
A;771;1878;771;1879;771;1879;771;1878
B;559;2218;559;2236;573;2236;573;2218
D;1120;2301;1120;2330;1145;2330;1145;2301
D;529;2447;529;2465;543;2465;543;2447
A;1304;2821;1304;2827;1310;2827;1310;2821
B;1146;2955;1146;2971;1167;2971;1167;2955
